timestamp,symbol,name,peg_type,peg_mechanism,current_supply_usd,day_change_usd,week_change_usd,month_change_usd,price
2026-06-08T15:11:40.503707+00:00,IST,Inter Stable Token,peggedUSD,crypto-backed,220912.09,0.00,-600.95,-1056.04,0.99775299
2026-06-08T15:11:40.503707+00:00,USDso,USD Somnia,peggedUSD,fiat-backed,502861.31,89.41,459.60,1818.04,0.00000000
2026-06-08T15:11:40.503707+00:00,WAD,Whale Asset Dollar,peggedUSD,crypto-backed,33263.34,1.21,-449.87,-1015.53,0.99967417
2026-06-08T15:11:40.503707+00:00,DUSD,Alto DUSD,peggedUSD,crypto-backed,665643.62,0.00,376.66,148366.63,0.99980470
2026-06-08T15:11:40.503707+00:00,USD+,USD+,peggedUSD,crypto-backed,584112.98,60.66,-360.10,-77158.24,0.00000000
2026-06-08T15:11:40.503707+00:00,HYUSD,High Yield USD,peggedUSD,algorithmic,116206.12,0.00,-220.87,-749.11,0.99967417
2026-06-08T15:11:40.503707+00:00,UNO,UNO,peggedUSD,fiat-backed,14681.67,0.00,217.24,237.60,0.79303132
2026-06-08T15:11:40.503707+00:00,USH,Hedge USD,peggedUSD,crypto-backed,38170.39,0.00,-201.00,-201.00,0.00000000
2026-06-08T15:11:40.503707+00:00,VST,Vesta Stable,peggedUSD,crypto-backed,81231.83,0.00,-193.58,-3121.10,0.99967417
2026-06-08T15:11:40.503707+00:00,BOB,BOB,peggedUSD,crypto-backed,21207.58,86.95,-132.45,-203.69,0.99971479
2026-06-08T15:11:40.503707+00:00,rgUSD,Revenue Generating USD,peggedUSD,crypto-backed,10917.60,0.00,-109.18,-199.96,0.99967417
2026-06-08T15:11:40.503707+00:00,WEUSD,WEUSD,peggedUSD,crypto-backed,502490.33,-29.99,-51.15,-1671.27,0.00000000
